"","USOXcod","USOX.","Species","Year.x","Date","Location.x","Delta.13C","C.Amount..ug.","Delta.15N","N.Amount..ug.","Delta.S","label1","dC_Ala","dC_Val","dC_Gly","dC_Ile","dC_Leu","dC_Pro","dC_Asp","dC_Phe","dC_Glu","dC_Lys","dN_Ala","dN_Asp","dN_Glu","dN_Gly","dN_Ile","dN_Leu","dN_Lys","dN_Phe","dN_Pro","dN_Val","Essential","Non.essential","XXX","SPCODE","code2","d18O","d13C","d15N","C.N","d34S","AASIA","VVV","code1","d13Ccor","Year","decade","labSPgeo"
"439","a33791","33791","LSPE","1985","22-Jun-85","Thorton Island",-23.46,546.3,14.81,72.35,18.9,67,-16.9,-22.142,-5.579,-15.87,-25.693,-9.639,-11.456,-25.791,-18.185,-14.757,25.777,19.927,28.669,19.477,26.574,23.809,7.681,6.62,32.71,26.659,-22.374,-5.579,26.3378,"ls33791","ls",NA,-23.45994675,14.81449264,7.551154188,18.90341882,22.049,7.663992642,"a33791",-21.4930936917643,1985,"1970-1989","LSPE.S"
"440","a33792","33792","LSPE","1985","22-Jun-85","Thorton Island",-23.44,629.64,13.92,75.19,19.26,68,-19.104,-23.837,-8.145,-17.617,-26.987,-11.089,-11.939,-26.392,-18.689,-15.546,24.55,17.441,27.247,15.511,26.699,23.051,6.14,3.883,29.532,26.708,-23.70825,-8.145,24.794,"ls33792","ls",NA,-23.43803431,13.91516734,8.374042585,19.25975692,23.364,8.903667343,"a33792",-21.1441361099231,1985,"1970-1989","LSPE.S"
"441","a33793","33793","LSPE","1985","22-Jun-85","Thorton Island",-23.17,614.52,14.29,86.51,19.24,70,-18.822,-22.893,-9.243,-16.463,-26.32,-11.471,-13.139,-26.393,-17.986,-16.262,24.84,19.619,27.839,15.936,31.454,25.923,6.952,6.394,31.524,27.088,-23.01725,-9.243,27.2718,"ls33793","ls",NA,-23.17499106,14.28560319,7.103710421,19.23651101,21.445,7.612603187,"a33793",-21.3972417237912,1985,"1970-1989","LSPE.S"
"443","a33795","33795","LSPE","1985","22-Jun-85","Thomas Island",-23.23,645.51,14.19,77.46,19.17,62,-17.619,-23.645,-4.985,-18.662,-25.58,-10.899,-10.978,-25.367,-14.081,-13.581,23.786,18.494,27.472,19.41,30.001,23.899,6.366,5.262,32.147,23.507,-23.3135,-4.985,26.4026,"ls33795","ls",NA,-23.22629094,14.19355969,8.333384681,19.16549428,22.21,8.379559693,"a33795",-20.949557472254,1985,"1970-1989","LSPE.S"
"444","a33796","33796","LSPE","1985","22-Jun-85","Thomas Island",-22.68,444.98,14.69,55.68,19.3,59,-17.52,-21.726,-9.604,-16.393,-25.647,-10.261,-10.05,-26.922,-20.446,-17.735,25.301,21.65,27.24027987,11.921,23.476,25.093,7.181,7.33,32.791,27.275,-22.672,-9.604,26.05005597,"ls33796","ls",NA,-22.67608287,14.69287129,7.991114763,19.29605962,19.91027987,7.43737129,"a33796",-20.5326659395656,1985,"1970-1989","LSPE.S"
"445","a33797","33797","LSPE","1985","22-Jun-85","Thomas Island",-23.64,534.84,12.67,67.79,19.09,61,-19.289,-26.684,-9.097,-21.682,-27.114,-17.269,-12.733,-29.215,-17.417,-14.844,24.042,16.734,25.827,17.124,23.149,20.954,5.175,5.037,32.3,24.685,-26.17375,-9.097,23.7928,"ls33797","ls",NA,-23.63871386,12.66554775,7.890294147,19.09027803,20.79,7.559547746,"a33797",-21.5335336376377,1985,"1970-1989","LSPE.S"
"451","a39812","39812","ANMU","1988","1-Jun-88","Langara Island",-19.52,607.97,12.55,73.15,16.21,45,-15.501,-20.256,-15.871,-0.118,-23.45,-11.283,-12.046,-23.138,-16.442,-15.475,19.616,17.444,25.777,13.462,18.466,16.868,7.933,7.105,27.63,20.471,-16.7405,-15.871,21.237,"amnxx39812","am",NA,-19.52326542,12.55245805,8.311428255,16.21482456,18.672,NA,"a39812",-17.2480315628801,1988,"1970-1989","ANMU"
"453","a39816","39816","ANMU","1988","1-Jun-88","Langara Island",-20.06,625.67,12.7,72.09,15.95,49,-14.957,-19.487,5.484,-15.301,-23.147,-9.882,-9.882,-22.44,-15.416,-12.63,20.883,16.156,21.78254949,11.974,17.56,18.89,6.792,5.661,26.809,21.268,-20.09375,5.484,20.2395099,"am39816","am",NA,-20.05608435,12.70486913,8.678825042,15.94672941,16.12154949,6.478369128,"a39816",-17.6503973590466,1988,"1970-1989","ANMU"
"456","a40124","40124","PECO","1988","25-Jun-88","Mitlenatch Island",-19.8,652.26,14.51,99.6,16.94,19,-16.147,-15.325,1.887,-12.118,-20.246,-8.494,-10.57,-21.816,-15.657,-12.412,21.107,19.287,24.375,11.919,21.035,21.748,8.717,7.353,30.138,23.923,-17.37625,1.887,23.3166,"PECO40124","PE",NA,-19.79598135,14.51163279,6.548480064,16.93725838,17.022,6.476632785,"a40124",-18.2856984956158,1988,"1970-1989","PECO"
"457","a40126","40126","PECO","1988","25-Jun-88","Mitlenatch Island",-19.14,594.64,15.01,100.15,17.04,20,-14.517,-15.834,1.18,-12.378,-20.642,-9.473,-11.466,-22.819,-16.715,-13.327,22.292,18.85,24.123,14.118,22.243,22.126,8.377,6.371,30.727,25.298,-17.91825,1.18,23.6138,"PECO40126","PE",NA,-19.13605718,15.01490128,5.937320809,17.03892392,17.752,7.640901283,"a40126",-17.93722482367,1988,"1970-1989","PECO"
"459","a40130","40130","PECO","1988","25-Jun-88","Mitlenatch Island",-20.62,652.26,13.92,83.57,16.68,17,-14.907,-15.485,1.727,-12.26,-20.036,-8.583,-10.208,-21.75,-15.846,-12.766,24.613,18.461,25.12,11.395,23.666,21.73,7.077,6.698,29.391,25.745,-17.38275,1.727,23.6736,"PECO40130","PE",NA,-20.62354752,13.92203543,7.80509203,16.68498845,18.422,7.034535429,"a40130",-18.547849082218,1988,"1970-1989","PECO"
"460","a40132","40132","PECO","1988","25-Jun-88","Mitlenatch Island",-16.31,603.18,14.3,109.99,15.47,18,-15.637,-14.954,0.273,-12.433,-19.321,-9.1,-11.902,-21.242,-15.024,-13.639,21.336,19.259,22.205,12.714,21.633,21.011,7.747,7.067,26.415,23.566,-16.9875,0.273,22.1046,"PECO40132","PE",NA,-16.31491485,14.30082806,5.484013184,15.46765446,15.138,6.893828064,"a40132",-15.3598338898735,1988,"1970-1989","PECO"
"476","a45010","45010","RHAU","1990","19-May-90","Lucy Island",-20.02,703.18,13.25,91.17,17.5484,92,-14.141,-15.547,-2.738,-9.204,-22.516,-5.967,-9.628,-21.351,-16.193,-14.221,21.98,16.824,24.739,13.782,22.836,22.799,6.122,4.641,29.416,25.566,-17.1545,-2.738,23.3228,"ra45010","ra",15.16697867,-20.01592546,13.24988871,7.713033332,17.54836776,20.098,7.868388713,"a45010",-17.9855894563552,1990,"1990-2006","RHAU.N"
"482","a45701","45701","LSPE","1990","28-Jun-90","Cleland Island",-22.85,633.97,14.34,85.94,18.6769,58,-18.167,-21.799,-15.67,-16.677,-25.871,-9.885,-12.801,-26.044,-19.017,-18.381,26.249,21.678,25.971,13.071,23.705,25.011,7.518,7.486,34.442,27.966,-22.59775,-15.67,26.1614,"ls45701","ls",14.48594538,-22.84998318,14.33826465,7.37663053,18.676923,18.485,6.836264645,"a45701",-20.9571670206438,1990,"1990-2006","LSPE.S"
"499","a46694","46694","DCCO","1990","12-Jul-90","Mandarte Island",-14.53,507.83,14.95,77.9,12.04,33,-10.845,-14.255,2.079,-11.309,-16.604,-9.738,-10.898,-19.366,-11.84,-10.166,22.268,22.448,24.904,16.953,22.322,22.863,6.38,6.577,26.645,25.552,-15.3835,2.079,23.8364,"DC46694","DC",NA,-14.53463801,14.95361638,6.518988137,12.04336035,18.327,8.475116379,"a46694",-13.0301958447897,1990,"1990-2006","DCCO"
"500","a46696","46696","DCCO","1990","12-Jul-90","Mandarte Island",-16.16,535.27,14.27,70.51,14.15,35,-11.587,-13.77,2.174,-9.71,-18.107,-6.197,-9.314,-19.942,-13.245,-10.698,22.486,20.631,25.433,15.389,22.3,22.202,6.376,7.074,29.043,24.679,-15.38225,2.174,23.9218,"DC46696","DC",NA,-16.1616737,14.26511644,7.591833057,14.15434859,18.359,7.540116438,"a46696",-14.1760415786359,1990,"1990-2006","DCCO"
"504","a46704","46704","PECO","1990",NA,"Mandarte Island",-18.73,652.26,12.95,119.74,16.18,7,-15.739,-16.658,-1.901,-12.111,-22.073,-8.818,-10.242,-21.808,-16.766,-12.443,22.473,17.241,23.2897747,12.324,22.623,22.227,5.931,7.252,30.111,24.172,-18.1625,-1.901,23.09835494,"PC46704","PC",NA,-18.72620068,12.95240799,5.447438003,16.18119394,16.0377747,6.360907994,"a46704",-17.8011514762411,1990,"1990-2006","PECO"
"506","a46708","46708","PECO","1990",NA,"Mandarte Island",-19.04,650.12,13.84,104.53,15.95,8,-15.199,-15.806,-0.269,-11.143,-21.171,-8.836,-9.088,-22.052,-17.14,-12.413,22.727,17.934,22.1094505,12.376,21.684,21.863,6.889,7.534,29.857,24.487,-17.543,-0.269,22.6894901,"PC46708","PC",NA,-19.04041079,13.83742275,6.219180633,15.95183768,14.5754505,6.62592275,"a46708",-17.6897311415592,1990,"1990-2006","PECO"
"507","a46710","46710","PECO","1990",NA,"Mandarte Island",-16.15,602.47,14.64,107.81,15.19,5,-12.887,-13.092,0.011,-9.388,-19.313,-6.95,-9.518,-19.356,-13.321,-9.326,21.891,19.316,23.4714861,16.277,22.002,21.429,7.084,7.637,27.838,24.864,-15.28725,0.011,22.81129722,"PC46710","PC",NA,-16.15388843,14.63681976,5.588207344,15.19250639,15.8344861,7.276319757,"a46710",-15.1399368980553,1990,"1990-2006","PECO"
